name,slug,rating,roaster,location,origin,roast,cost_12oz,review_date,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3,Location_Latitude,Location_Longitude,Origin_Latitude,Origin_Longitude,Blend/Single Origin
Panama La Mula Geisha Washed,https://www.coffeereview.com/review/panama-la-mula-geisha-washed/,95,GK Coffee,"Yilan, Taiwan","Chiriqui Province, western Panama",Light,326.59,22-Jul,9,,9,9,9,,"Elegantly bright, richly sweet. Apricot, bergamot, cocoa nib, sandalwood, star jasmine in aroma and cup. Balanced structure with high-toned acidity; silky, viscous mouthfeel. Long, lingering finish centers around notes of cocoa nib and apricot, with a shimmer of star jasmine.","Produced at Finca La Mula entirely of the celebrated Geisha (also spelled Gesha) variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].","A harmonious, very satisfying washed Panama cup, classic in its delicate balance of stone fruit, cocoa nib and spicy florals.Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from PanamaVisit GK Coffee ",24.7519538,121.7533344,8.758489,-81.595259,Single Origin
Magic Cat Kenya Civet AFCA TOH NO.2 Gatuya Factory New Murarandia AA,https://www.coffeereview.com/review/magic-cat-kenya-civet-afca-toh-no-2-gatuya-factory-new-murarandia-aa/,94,"Good Chance Biotechnology, Ltd.","Taichung City, Taiwan","Murang'a County, central Kenya",Medium-Light,309,20-Dec,9,9,9,9,8,,"Sweetly savory, rich and deep. Dark chocolate, violet, pomegranate, maple syrup, cedar in aroma and cup. Crisply bright with juicy acidity; very syrupy mouthfeel. Notes of violet and pomegranate, with undertones of cedar, resonate in the finish.","This washed-process Kenya coffee was exposed to cultured strains of bacteria extracted from the excrement of the civet cat, making this a laboratory version of the famous kopi luwak, in which coffee fruit is eaten by and passed through the intestines of a civet cat or luwak. Good Chance Biotechnology., Ltd. is a Taiwan-based specialty coffee company. For more information, visit http://www.magiccat.pro/ or email [email protected].","A Kenya coffee experimentally manipulated in a lab to mimic the sensory impact of digestive processing by civet cats or luwaks. Sweet-savory, bright, rich-toned.Explore Similar CoffeesClick here for more reviews from Good Chance Biotechnology, Ltd.Click here for more information about coffees from Kenya ",24.1586239,120.644867,-0.71667,37.15,Single Origin
Magic Cat Civet Ethiopia Sidamo Shantwene Litchi Rose Washed,https://www.coffeereview.com/review/magic-cat-civet-ethiopia-sidamo-shantwene-litchi-rose-washed/,93,"Good Chance Biotechnology, Ltd.","Taichung City, Taiwan","Sidamo growing region, south-central Ethiopia",Medium-Light,309,20-Dec,9,8,9,9,8,," Sweetly tart, vibrant. Dried apricot, caramel, magnolia, thyme, oak in aroma and cup. Sweet-tart structure with brisk acidity; plush, viscous mouthfeel. The quiet finish leads with notes of caramel-toned apricot and fresh-cut oak.","This coffee was produced from largely indiginous landrace varieties of Arabica grown only in southern Ethiopia. It was subsequently exposed to cultured strains of bacteria extracted from the excrement of the civet cat, making this a laboratory version of the famous kopi luwak, in which coffee fruit is eaten by and passed through the intestines of a civet cat or luwak. Good Chance Biotechnology., Ltd. is a Taiwan-based specialty coffee company. For more information, visit http://www.magiccat.pro/ or email [email protected].","A classically bright, aromatic Ethiopia coffee experimentally manipulated in a lab to mimic the sensory impact of digestive processing by civet cats or luwaks.Explore Similar CoffeesClick here for more reviews from Good Chance Biotechnology, Ltd.Click here for more information about coffees from Ethiopia ",24.1586239,120.644867,6.8475,39.4531,Single Origin
Kona Geisha Washed,https://www.coffeereview.com/review/kona-geisha-washed/,96,Paradise Roasters,"Hilo, Hawaii","Holualoa, North Kona District, “Big Island” of Hawaiʻi ",Light,300,24-May,9,9,10,9,9,,"High-toned, tropical, exquisitely balanced. Orange blossom, cocoa nib, guava, young ginger, cedar in aroma and cup. Juicy-bright yet delicate acidity; silky-smooth mouthfeel. Long, resonant finish that fulfills the promise of the cup.","Produced at Noelani Farm, entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 808-498-4048 for more information. ","A Hawaiian-grown Geisha that evokes the finest Geishas of Panama in much the way certain coastal Sonoma Chardonnays approach world-class Chablis. It’s elegant, confident, multi-layered and lyrically coherent.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from HawaiiVisit Paradise Roasters ",19.7073734,-155.08158,19.66667,-155.83333,Single Origin
Kona Mokka Champagne Natural,https://www.coffeereview.com/review/kona-mokka-champagne-natural/,95,Paradise Roasters,"Hilo, Hawaii","Kona growing region, Big Island of Hawai’i",Light,300,23-Dec,9,9,9,9,9,,"Elegantly floral, richly fruity. Star jasmine, passionfruit, ginger, cocoa nib, myrrh in aroma and cup. High-toned, sparkling acidity; delicately silky-smooth mouthfeel. Long, lingering, flavor-laden finish.","Produced by Kraig Lee of Kona Farm Direct, entirely of the Mokka variety of Arabica (from trees planted with Mokka seeds from Hula Daddy Farm), and processed by the natural method (dried in the whole fruit). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information.  ","This aromatically tropical Kona Mokka natural leads with lush florals and tart fruits and has undertones of crisp cocoa nib — bright, juicy, balanced and rich.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from HawaiiVisit Paradise Roasters ",19.7073734,-155.08158,30.829423,-82.609586,Single Origin
Colombia La Siria Geisha,https://www.coffeereview.com/review/colombia-la-siria-geisha/,96,Bird Rock Coffee Roasters,"San Diego, California","La Argentina, Huila Department, Colombia",Medium-Light,285,21-Nov,9,9,9,10,9,,"Delicately fruit-forward, suave, intricate. Pluot, cocoa nib, Meyer lemon zest, star jasmine, pistachio in aroma and cup. Sweet-toned structure with elegantly bright acidity; silky, vibrant mouthfeel. Long, resonant, flavor-saturated finish.","This exceptional coffee was selected as the No. 8 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by Anibal Burbano of Finca La Siria entirely of the celebrated Geisha (also spelled Gesha) variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A lyrically fruit-toned washed Geisha with intricate balance and deep, intriguing complexity.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from Colombia ",32.7174202,-117.162772,1.7923812,-76.3824963,Single Origin
Panama Boquete Torre Lot #1 Geisha Honey,https://www.coffeereview.com/review/panama-boquete-torre-lot-1-geisha-honey/,94,Bona Kafo Roastery,"Kaohsiung, Taiwan","Boquete, Panama",Light,272.16,20-Sep,9,9,9,9,8,,"Sweetly floral and spice-toned, delicate. Lilac, myrrh, cocoa nib, pink peppercorn, honey in aroma and cup. Balanced, sweetly tart structure with delicately vibrant acidity; very full, syrupy mouthfeel. Cocoa- and floral-toned finish.","Produced from the trees of the rare Ethiopia-derived botanical variety Geisha (also spelled Gesha) by the Lamastus family at Elida Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Geisha/Gesha variety continues to distinguish itself as one of the world’s most unique coffees. Processed by the honey method, in which some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Bona Kafo is a Taiwan-based specialty coffee roaster. Visit www.bonakaforoastery.com.","A sweetly subtle, nuanced Geisha cup processed by the honey method at Panama’s famed Elida Estate. Explore Similar CoffeesClick here for more reviews from Bona Kafo RoasteryClick here for more information about coffees from Panama ",22.6203348,120.3120375,8.7380282,-82.4294739,Single Origin
Panama Hacienda La Esmeralda Special Nano Geisha Gigante Washed Euphora Lot,https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-special-nano-geisha-gigante-washed-euphora-lot/,96,Euphora Coffee,"Taipei, Taiwan","Boquete growing region, western Panama",Light,270,24-Aug,9,10,9,9,9,,"Intricate, delicate, laser-focused. Lychee, bergamot, cocoa nib, lemongrass, myrrh in aroma and cup. Lyrically balanced, juicy, high-toned acidity; very smooth, viscous, silky mouthfeel. Long, lingering harmonious, resonant finish.","Produced at Hacienda La Esmeralda, entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Euphora is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information. ","A vivid exemplar of Panama’s ongoing Geisha prowess — this washed coffee is classically bright, intensely sweet, complexly floral, and quite nuanced in its multi-layered appeal.Explore Similar CoffeesClick here for more reviews from Euphora CoffeeClick here for more information about coffees from PanamaVisit Euphora Coffee ",25.0375198,121.5636796,8.7692451,-82.43063508,Single Origin
Geisha Champagne,https://www.coffeereview.com/review/geisha-champagne/,94,Heavenly Hawaiian,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,246,24-Feb,9,9,8,9,9,,"Balanced, juicy, delicately sweet-tart. Nectarine, almond, cocoa nib, star jasmine, oak forest in aroma and cup. Sparkling acidity; crisp, satiny-smooth mouthfeel. Cohesive, flavor-saturated finish.","Produced at Heavenly Hawaiian Farm, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Founded by Dave and Trudy Bateman in 1994, Heavenly Hawaiian is a coffee farm and roastery in Kona that offers daily farm tours as well as retail sales. Visit www.heavenlyhawaiian.com for more information.","A Kona-grown Geisha, cleanly natural processed to show off pretty fruit notes; especially vibrant acidity.Explore Similar CoffeesClick here for more reviews from Heavenly HawaiianClick here for more information about coffees from Hawaii ",19.62947805,-155.9168803,41.77562,-109.655664,Single Origin
Kona Geisha Peaberry Yeast Fermentation Washed,https://www.coffeereview.com/review/kona-geisha-peaberry-yeast-fermentation-washed/,95,Paradise Roasters,"Hilo, Hawaii","Holualoa, Hawai’i Island, Hawaii",Light,240,24-Jun,9,9,9,9,9,,"Elegantly bright, floral-toned. Wisteria, lemongrass, dried nectarine, cocoa nib, bergamot in aroma and cup. Balanced, high-toned acidity; silky, viscous mouthfeel. Long, lingering, satisfying finish","Produced at Kona Farm Direct, entirely of the Geisha variety of Arabica, and processed by the traditional washed method, with the addition of a yeast-inoculated fermentation step. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 808-498-4048 for more information.","An aromatically focused, richly floral Kona Geisha with undertones of dried stone fruit and complex citrus — compelling, coherent, harmonious, integrated.",19.7073734,-155.08158,19.62947805,-155.9168803,Single Origin
Tanzania Acacia Hills Gesha Peaberry,https://www.coffeereview.com/review/tanzania-acacia-hills-gesha-peaberry/,95,Chromatic Coffee,"San Jose, California","Ngorongoro, Tanzania ",Medium-Light,240,21-Nov,9,9,9,9,9,,"Deep-toned, richly sweet-savory. Blackberry jam, toffee, lavender, spearmint, fresh-cut cedar in aroma and cup. Vibrantly sweet-savory structure with lilting acidity; lively, viscous mouthfeel. Blackberry and lavender notes lead in the short finish, which rounds toward toffee in the long.","This exceptional coffee was selected as the No. 11 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced at Acacia Hills Coffee entirely of the celebrated Gesha (also spelled Geisha) variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops a single, oval bean rather than the usual pair of flat-sided beans. Chromatic prides itself in doing everything in-house and meticulously, from printing its attractive bags to modifying equipment to sourcing and roasting its exceptional coffees. Visit www.chromaticcoffee.com for more information.","A beautifully composed Gesha peaberry grown in Tanzania, with brambly berry notes, spice-toned florals, and sweet herb notes throughout.Explore Similar CoffeesClick here for more reviews from Chromatic CoffeeClick here for more information about coffees from Tanzania ",37.3361663,-121.890591,-8.5455073,39.0846819,Single Origin
Panama Hacienda La Esmeralda Super Mario Geisha Yeast Washed,https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-super-mario-geisha-yeast-washed/,95,Quartet Kaffe,"Taipei, Taiwan","Boquete growing region, Panama",Medium-Light,226.8,22-Jul,9,9,9,9,9,," Richly aromatic, complex. Star jasmine, cocoa nib, bergamot, apricot, sandalwood in aroma and cup. Delicately bright structure with vibrantly juicy acidity; silky, viscous mouthfeel. Resonant, long flavor-laden finish with notes of star jasmine and cocoa nib supported by apricot undertones.","Coffee from trees of the botanical variety Geisha (also Gesha) grown on Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. With its bold, boat-shaped beans and distinctive floral and crisply cocoa-toned cup, the Geisha/Gesha continues to be one of the world’s most celebrated and sought-after coffee varieties, and the Esmeralda versions remain among the most authentic. This is a wash-processed version. Quartet Kaffe is an artisan roastery in Taiwan founded in 2018, dedicated to pursuing coffee performance art and offering unique specialty coffee. Visit www.facebook.com/QuartetKaffe for more information.","A lush, rich-toned, yet delicately perfumed washed Geisha cup with exhilarating acidity.Explore Similar CoffeesClick here for more reviews from Quartet KaffeClick here for more information about coffees from Panama ",25.0375198,121.5636796,8.7692451,-82.43063508,Single Origin
Tanzania Gesha Peaberry,https://www.coffeereview.com/review/tanzania-gesha-peaberry/,95,Paradise Roasters,"Minneapolis, Minnesota","Ngorongoro, Tanzania",Light,224.85,21-Aug,9,9,9,9,9,,"Lyrically balanced, richly spice-toned. Bergamot, wisteria, cocoa nib, sugarcane, guava in aroma and cup. Intoxicatingly sweet structure with delicately bright acidity; buoyant, silky mouthfeel. Resonant, flavor-saturated, very long finish.","Produced at Acacia Hills Coffee Estate entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). This particular sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","A splendid Tanzania Gesha that mesmerizes with lush, complex spice and deep, pervasive sweetness.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from TanzaniaVisit Paradise Roasters ",44.9772995,-93.2654692,-8.5455073,39.0846819,Single Origin
Kona Geisha Champagne Natural,https://www.coffeereview.com/review/kona-geisha-champagne-natural/,95,Paradise Roasters,"Minneapolis, Minnesota","Kealakekua, Kona, Big Island of Hawaii",Light,224.85,21-Jan,9,9,9,9,9,,"Deeply, delicately aromatic, high-toned. Strawberry guava, cocoa nib, mandarinquat, brown sugar, hazelnut in aroma in cup. Sweetly tart with bright, balanced acidity; silky, lightly viscous mouthfeel. Flavor-saturated, long, engaging finish.","This exceptional coffee was selected as the No. 16 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by Doug McKenna of Kona Geisha Farm  entirely of the Geisha variety of Arabica and processed in the whole fruit with the addition of a fermentation step applying wine yeast strains. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",A coffee of the celebrated Geisha variety grown in Kona and processed by an experimental wine-yeast-fermented natural method designed to encourage Champagne-like acidity.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from HawaiiVisit Paradise Roasters ,44.9772995,-93.2654692,19.477088,-155.927076,Single Origin
