Blend/Single Origin,Country of Origin,Country of Origin Mod,Desc 1,Desc 2,Desc 3,location City,Location Country,Location State,Name,Origin,Review Date,Roast,Roaster,Slug,Acid,Aftertaste,Aroma,Body,Cost 12Oz,Flavor,Latitude,Location Latitude,Location Longitude,Longitude,Origin Latitude,Origin Longitude,Rating,Selected Measure,With Milk
Single Origin,Panama,Panama,"Harmoniously sweet-tart-savory. Dark chocolate, pomegranate, shiitake  mushroom, jasmine, sandalwood in aroma and cup. Sweet-savory structure with vibrant, high-toned acidity; full, syrupy-smooth mouthfeel. The finish is a sweet-savory duet of dark chocolate and shiitake mushroom notes.","Produced from trees of the Geisha variety of arabica and processed by the carbonic maceration natural method, which usually involves fermenting whole fruit inside a sealed container that has been flushed with CO2. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","An inviting, enigmatic Panama cup, experimentally processed, that rewards with umami richness as well as classic sweet-tart impulses.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from PanamaVisit Kakalove Cafe ",Chia-Yi,Taiwan,,2020 Savage Auction Deborah Carbonic-Macerated Natural Geisha,"Chiriqui, Boquete growing region, western Panama",20-Oct,Medium-Light,Kakalove Cafe,https://www.coffeereview.com/review/2020-savage-auction-deborah-carbonic-macerated-natural-geisha/,9,8,9,9,72,9,23.4818972,23.4818972,120.462318,120.462318,8.716062,-82.440641,88,88,
Single Origin,Kenya,Kenya,"Chocolaty, crisply sweet. Baking chocolate, date, almond, cedar, agave syrup in aroma and cup. Sweet structure with pert acidity; satiny mouthfeel. The finish centers around notes of baking chocolate and almond with cedar undertones.","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Mr. Chao Coffee is a subsidiary of Intekeco Co., Ltd, based in New Taipei City, Taiwan, which provides both green and roasted coffee to wholesale and retail clients. Visit https://chao-coffee.webnode.tw/zh-tw/ for more information.","A rich, crisply chocolaty Kenya cup. Pleasing nut and dried fruit notes throughout.Explore Similar CoffeesClick here for more reviews from Mr. Chao CoffeeClick here for more information about coffees from Kenya ",NewTaipeiCity,Taiwan,,414 Kenya SL34,Kenya,21-Oct,Medium-Light,Mr. Chao Coffee,https://www.coffeereview.com/review/414-kenya-sl34/,8,8,9,8,4.81,9,25.0357722,25.0357722,121.4502478,121.4502478,1.4419683,38.4313975,84,84,
Blend,Sumatra,Sumatra,"Deeply sweet-savory. Dark chocolate, fresh humus, yellow plum, cashew, oak in aroma and cup. Sweet structure with brisk acidity; silky, lightly viscous mouthfeel. Finish consolidates to earthy chocolate and nut.",A blend of coffees from Costa Rica and Sumatra. Coffee Hound is a women-owned small business in Maine that offers both retail and wholesale specialty coffee. Visit www.coffeehoundcoffeeco.com.,"A solid, medium-roasted Costa Rica/Sumatra blend that offers deep earthy sweetness juxtaposed with crisp fruit.Explore Similar CoffeesClick here for more reviews from Coffee Hound ",Brewer,USA,Maine,44˚N 68˚W Bar Harbor,Costa Rica; Sumatra,22-Jun,Medium-Light,Coffee Hound,https://www.coffeereview.com/review/44%cb%9an-68%cb%9aw-bar-harbor/,8,8,9,8,13.99,9,44.794713,44.794713,-68.7661547,-68.7661547,10.068183,-84.028584,84,84,
Single Origin,Guatemala,Guatemala,"Sweetly herb- and spice-toned. Lemon verbena, plum, clove, oak, maple syrup in aroma and cup. Sweetly tart structure with delicate acidity; crisp, silky mouthfeel. The finish leads with notes of lemon verbena and plum in the short, consolidating to fragrant oak in the long.
","Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Caturai varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe/ for more information.
","A crisp, sweetly herbaceousrr Guatemala cup with warming spice tones throughout.
",Antigua,Guatemala,,5a Poniente,"Antigua growing region, Guatemala",22-Nov,Medium-Light,El Gran Cafe,https://www.coffeereview.com/review/5a-poniente-3/,8,8,8,8,6,9,10.3113166,10.3113166,-85.7715578,-85.7715578,14.56111,-90.73444,82,82,
Single Origin,Guatemala,Guatemala,"Chocolaty, sweetly smoky. Dark chocolate, scorched mesquite, lily, raisin, hazelnut in aroma and cup. Bittersweet structure with gentle acidity; crisp, light mouthfeel. Bittersweet finish with notes of chocolate and scorched mesquite.","Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Catuai varieties of Arabica and processed by the washed method. El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe/ for more information.",A classic dark roast Guatemala cup with barely perceptible acidity and nice chocolate and nut tones; ideal with a splash of milk.Explore Similar CoffeesClick here for more reviews from El Gran CaféClick here for more information about coffees from Guatemala,Antigua,Guatemala,,5a Poniente,"Antigua growing region, Guatemala",20-Oct,Medium-Dark,El Gran Café,https://www.coffeereview.com/review/5a-poniente/,7,7,7,7,6,8,10.3113166,10.3113166,-85.7715578,-85.7715578,14.56111,-90.73444,72,72,
Single Origin,Guatemala,Guatemala,"Crisply nut-toned. Pecan, raisin, sage, brown sugar, fir in aroma and cup. Bittersweet structure with gentle acidity. Chewy, round mouthfeel. Pecan notes prevail in a gently drying finish. ","Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Caturai varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.","A brisk, bittersweet Guatemala cup, sweetly raisiny and crisply nut-toned.Explore Similar CoffeesClick here for more reviews from El Gran CafeVisit El Gran Cafe ",Antigua,Guatemala,,5a Poniente,"Antigua, Guatemala",23-Aug,Medium-Light,El Gran Cafe,https://www.coffeereview.com/review/5a-poniente-4/,8,7,8,8,6,8,10.3113166,10.3113166,-85.7715578,-85.7715578,10.3113166,-85.7715578,78,78,
Single Origin,Guatemala,Guatemala,"Richly bittersweet. Dark chocolate, hop flowers, fir, almond, raisin in aroma and cup. Bittersweet structure with gentle acidity; very full, syrupy mouthfeel. The crisp, chocolaty finish is supported by smoky aromatic wood notes.","Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Caturai varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe/ for more information.","A sweet, chocolaty, earthy Guatemala cup with a roast profile on the darkish end of medium.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Antigua,Guatemala,,5a Poniente,"Antigua, Guatemala",21-Dec,Medium,El Gran Cafe,https://www.coffeereview.com/review/5a-poniente-2/,7,7,8,8,6,8,10.3113166,10.3113166,-85.7715578,-85.7715578,10.3113166,-85.7715578,76,76,
Single Origin,Guatemala,Guatemala,"Chocolate-toned, richly sweet-savory. Dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. Bittersweet structure with gentle, rounded acidity; plush, syrupy mouthfeel. The quiet finish consolidates to crisp cocoa-toned cedar notes.
","Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Catuaí varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.","A solid Guatemala cup with pleasing savory undertones, deftly roasted to the dark end of medium to develop sweet chocolate notes and intensify body.
",Antigua,Guatemala,,5a Sur,"Antigua growing region, Guatemala",22-Nov,Medium,El Gran Cafe,https://www.coffeereview.com/review/5a-sur-3/,8,7,9,9,6,8,10.3113166,10.3113166,-85.7715578,-85.7715578,14.56111,-90.73444,82,82,
Single Origin,Guatemala,Guatemala,"Sweetly nut- and cocoa-toned. Hazelnut, cocoa powder, magnolia, cedar, golden raisin in aroma and cup. Sweet structure with brisk acidity; velvety mouthfeel. The nut-toned finish is supported by hints of cocoa powder and cedar. ","Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Catuai varieties of Arabica and processed by the washed method. El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe/ for more information.","An accessible, sweetly nutty and cocoa-driven Guatemala cup.Explore Similar CoffeesClick here for more reviews from El Gran CaféClick here for more information about coffees from Guatemala ",Antigua,Guatemala,,5a Sur,"Antigua growing region, Guatemala",20-Oct,Medium,El Gran Café,https://www.coffeereview.com/review/5a-sur/,7,7,7,7,6,8,10.3113166,10.3113166,-85.7715578,-85.7715578,14.56111,-90.73444,72,72,
Single Origin,Guatemala,Guatemala,"Crisply sweet-tart, pleasingly nutty. Red apple, almond brittle, freesia, lime zest, cedar in aroma and cup. Sweet-tart structure with brisk acidity; delicate, satiny mouthfeel. Quiet, gently nut-toned finish.","Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Catuaí varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.",A subtly nuanced Guatemala cup with crisp apple and sweet herb notes and undertones of richly sweet almond throughout.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe,Antigua,Guatemala,,5a Sur,"Antigua, Guatemala",23-Aug,Medium-Light,El Gran Cafe,https://www.coffeereview.com/review/5a-sur-4/,8,8,9,8,6,9,10.3113166,10.3113166,-85.7715578,-85.7715578,10.3113166,-85.7715578,84,84,
Single Origin,Guatemala,Guatemala,"Crisply sweet, nut-toned. Cashew butter, baking chocolate, magnolia, pear, cedar in aroma and cup. Sweetly brisk structure; satiny mouthfeel. The finish consolidates to notes of cashew and cedar.","Produced at Beneficio La Esperanza, from trees of the Bourbon, Caturra and Catuaí varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe for more information.","A darkish medium version of a classic Guatemala cup: sweet, balanced, gently nut-toned.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from Guatemala ",Antigua,Guatemala,,5a Sur,"Antigua, Guatemala",21-Dec,Medium,El Gran Cafe,https://www.coffeereview.com/review/5a-sur-2/,7,7,8,8,6,9,10.3113166,10.3113166,-85.7715578,-85.7715578,10.3113166,-85.7715578,78,78,
Blend,Guatemala,Guatemala,"Evaluated as espresso. Balanced, deeply sweet, chocolaty. Dark chocolate, slightly scorched cedar, apricot, orange zest, lily in aroma and small cup. Crisp, syrupy mouthfeel; sweet, gently drying finish. In three parts milk, quite chocolaty and balanced with attractive cedar undertones.","A blend of coffees from Ethiopia, Brazil, Colombia and Guatemala, roasted for espresso brewing. Belray Coffee is a rapidly growing, quality-oriented coffee chain based in Shanghai, China. ","A chocolate-toned espresso blend supported by notes of gently smoky aromatic wood and richly sweet, lily-like florals.Explore Similar CoffeesClick here for more reviews from Belray Coffee ",Shanghai,China,,5S Select Coffee Bean,Ethiopia; Brazil; Guatemala; Colombia,21-Mar,Medium,Belray Coffee,https://www.coffeereview.com/review/5s-select-coffee-bean/,,8,9,8,19.6,9,31.2323437,31.2323437,121.4691024,121.4691024,3.23386,-76.23083,86,86,9
Blend,Guatemala,Guatemala,"Rich, deep, caramelly. Dark caramel, hazelnut butter, lilac, fresh-cut oak, marjoram in aroma and cup. Very sweet with brisk acidity; plush, satiny mouthfeel. Caramel- and nut-toned finish with lilac resurfacing in the long.","A blend comprised of two coffees, both washed-process: a Papua New Guinea and a Guatemala. Founded in August 2016, Charlotte Coffee Company donates 10 percent of proceeds from all retail sales to local non-profits dedicated to ending homelessness and hunger. Visit www.charlottecoffeeco.com for more information.","A familiar, comforting blend with leading notes of dark caramel, rich nut tones, and pretty florals — a classic daily drinker.Explore Similar CoffeesClick here for more reviews from Charlotte Coffee Company ",Charlotte,USA,North Carolina,704 Blend,Papua New Guinea; Guatemala,22-Feb,Medium,Charlotte Coffee Company,https://www.coffeereview.com/review/704-blend/,8,8,9,9,16,9,35.2272086,35.2272086,-80.8430827,-80.8430827,21.75445,-103.00883,86,86,
Single Origin,Guatemala,Guatemala,"Cleanly fruit-forward, chocolaty. Dark chocolate, dried persimmon, halvah, cedar, honey in aroma and cup. Gently bittersweet structure with brisk acidity; very full, syrupy-smooth mouthfeel. Fruit- and chocolate-toned finish, crisp and long.","A natural-processed (dried in the whole fruit) Pacamara coffee imported by Full Sweet Coffee. Founded by longtime roaster Hank Tseng, Qin Mi Coffee is a roastery and cafe with the goal of providing guests the utmost in hospitality and quality. Visit https://shopee.tw/a5190829 for more information.","A delicate, richly aromatic natural-processed Guatemala cup with leading notes of dried fruit and rich chocolate.Explore Similar CoffeesClick here for more reviews from Qin Mi CoffeeClick here for more information about coffees from Guatemala ",TaoyuanCity,Taiwan,,Acatenango Pacamara Natural,"Acatenango Valley, Guatemala",21-Sep,Medium-Light,Qin Mi Coffee,https://www.coffeereview.com/review/acatenango-pacamara-natural/,8,8,8,9,31.17,9,24.9929995,24.9929995,121.3010003,121.3010003,14.55194,-90.94222,84,84,
Single Origin,Guatemala,Guatemala,"Crisply high-toned, richly sweet-savory. Dark chocolate, goji berry, lemon verbena, honeysuckle, hazelnut brittle in aroma and cup. Sweet-savory structure with lively, balanced acidity; plush, syrupy mouthfeel. The finish consolidates to dark chocolate and honeysuckle.","Produced at Santa Felisa farm entirely of the rare Sudan Rume variety of Arabica and processed by fermentation in the whole fruit with the addition of wild yeasts added to the tank, then dried in the whole fruit, making it, in effect, a fermented natural. Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information. ","A uniquely composed, harmoniously balanced Sudan Rume cup from Guatemala, natural-processed but fermented with the addition of wild yeasts, netting a  deeply rich cup.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from GuatemalaVisit Kakalove Cafe ",Chia-Yi,Taiwan,,Acatenango Santa Felisa Wild Yeast Natural Sudan Rume Full Moon Lot 4,"Acatenango growing region, central Guatemala",21-Oct,Medium-Light,Kakalove Cafe,https://www.coffeereview.com/review/acatenango-santa-felisa-wild-yeast-natural-sudan-rume-full-moon-lot-4/,9,8,9,9,28.8,9,23.4818972,23.4818972,120.462318,120.462318,14.55194,-90.94222,88,88,
